DateTime;Total Load
0;11208.4
1;11231.93
2;11175.14
3;11208.62
4;11186.62
5;11128.11
6;10967.78
7;10803.92
8;10620.22
9;10678.57
10;10559.76
11;10369.63
12;10149.1
13;9771.68
14;9569.8
15;9415.99
16;9139.02
17;8853.97
18;8431.32
19;8285.76
20;8191.38
21;8207.94
22;8197.07
23;8048.33
24;7998.94
25;8041.69
26;8073.96
27;8036.86
28;7965.23
29;7925.34
30;7986.05
31;8040.11
32;8047.73
33;8091.53
34;8090.25
35;8140.91
36;8129.74
37;8375.78
38;8377.47
39;8551.56
40;8704.67
41;8830.21
42;8932.05
43;9162.13
44;9280.94
45;9487.15
46;9382.89
47;9521.19
48;9451.25
49;9375.42
50;9278.21
51;9472.34
52;9601.57
53;9710.47
54;9883.0
55;10099.34
56;10221.39
57;10360.1
58;10591.69
59;10814.05
60;10859.11
61;11021.65
62;11150.95
63;11146.95
64;11310.93
65;11348.48
66;11408.52
67;11283.38
68;11226.67
69;11030.58
70;10774.82
71;10597.15
72;10499.01
73;10552.93
74;10521.5
75;10511.32
76;10394.07
77;10458.02
78;10448.85
79;10457.12
80;10425.63
81;10430.02
82;10453.77
83;10460.4
84;10416.02
85;10359.53
86;10329.4
87;10375.71
88;10311.94
89;10187.93
90;10292.09
91;10278.35
92;10262.98
93;10314.86
94;10363.07
95;10360.03
96;10403.1
97;10461.96
98;10480.86
99;10440.94
100;10409.49
101;10322.84
102;10189.94
103;10213.4
104;10477.07
105;10374.55
106;10220.19
107;9990.1
108;9669.07
109;9407.78
110;9170.83
111;8929.45
112;8634.08
113;8298.45
114;8110.68
115;8027.12
116;7988.5
117;7819.72
118;7784.01
119;7796.11
120;7779.13
121;7708.41
122;7675.24
123;7658.28
124;7660.78
125;7679.03
126;7784.11
127;7780.86
128;7800.98
129;7916.75
130;7984.43
131;7993.16
132;7999.96
133;8192.05
134;8361.97
135;8592.35
136;8699.56
137;8951.0
138;9043.99
139;9220.79
140;9496.16
141;9436.2
142;9391.08
143;9368.3
144;9477.63
145;9501.13
146;9584.85
147;9625.56
148;9787.94
149;9829.7
150;10083.55
151;10209.27
152;10410.16
153;10595.26
154;10807.06
155;10994.81
156;11078.02
157;11233.69
158;11374.04
159;11444.25
160;11356.6
161;11578.06
162;11373.46
163;11317.72
164;11124.39
165;11019.92
166;10621.37
167;10536.58
168;10494.92
169;10507.83
170;10508.81
171;10410.85
172;10426.68
173;10430.33
174;10659.23
175;10563.06
176;10699.38
177;10671.94
178;10836.75
179;10855.32
180;10944.91
181;10827.44
182;10877.02
183;10969.85
184;11038.95
185;11152.66
186;11117.09
187;11002.35
188;10965.12
189;10947.9
190;11010.6
191;10912.7
192;10972.47
193;11034.32
194;10986.0
195;10938.5
196;10812.04
197;10627.96
198;10595.98
199;10626.86
200;10568.95
201;10401.44
202;10157.31
203;9911.77
204;9623.08
205;9290.8
206;8950.62
207;8814.65
208;8549.33
209;8162.55
210;7905.9
211;7817.29
212;7678.89
213;7400.26
214;7356.81
215;7439.47
216;7269.33
217;7251.82
218;7281.77
219;7328.32
220;7303.06
221;7396.6
222;7366.15
223;7438.74
224;7385.89
225;7375.55
226;7305.09
227;7492.8
228;7602.69
229;7591.61
230;7543.92
231;7695.35
232;7822.31
233;8015.42
234;8147.62
235;8297.07
236;8379.61
237;8469.33
238;8652.7
239;8597.3
240;8556.59
241;8564.09
242;8725.24
243;8879.87
244;9062.69
245;9240.33
246;9389.18
247;9411.43
248;9537.82
249;9490.72
250;9738.73
251;9799.0
252;9786.64
253;9710.18
254;9846.33
255;9834.2
256;9860.31
257;9697.99
258;9746.72
259;9589.67
260;9523.01
261;9405.06
262;9114.14
263;9039.51
264;8846.88
265;8650.93
266;8611.95
267;8734.88
268;8720.8
269;8592.66
270;8569.01
271;8772.63
272;8796.36
273;8836.27
274;8924.52
275;8926.91
276;9006.94
277;9078.55
278;9164.12
279;9241.6
280;9455.76
281;9501.43
282;9437.46
283;9290.09
284;9072.12
285;8948.53
286;8793.52
287;8935.58
288;8920.46
289;8802.53
290;8820.06
291;8841.01
292;8602.32
293;8439.24
294;8218.5
295;8215.11
296;8206.88
297;8046.15
298;7906.04
299;7645.16
300;7602.83
301;7564.34
302;7529.03
303;7398.38
304;7396.77
305;7145.47
306;7157.15
307;7355.43
308;7219.74
309;7037.6
310;6931.89
311;7058.43
312;7173.5
313;7211.11
314;7083.72
315;6970.57
316;7084.84
317;7141.05
318;7153.28
319;7198.39
320;7419.22
321;7608.06
322;7554.52
323;7714.89
324;7862.77
325;7845.47
326;7845.24
327;7941.6
328;8226.2
329;8175.84
330;8264.06
331;8407.79
332;8558.71
333;8616.51
334;8628.48
335;8704.13
336;8656.75
337;8631.07
338;8741.56
339;8828.68
340;8910.08
341;8961.31
342;8992.73
343;9026.88
344;9228.32
345;9359.74
346;9432.3
347;9508.96
348;9764.5
349;9791.89
350;9909.39
351;9888.38
352;9995.07
353;9939.32
354;9936.92
355;9790.53
356;9713.04
357;9457.79
358;9320.06
359;9179.96
360;9098.34
361;8973.01
362;8866.61
363;8793.74
364;8627.75
365;8585.2
366;8556.31
367;8706.83
368;8754.62
369;8896.67
370;8970.8
371;9057.33
372;9137.81
373;9098.9
374;9260.82
375;9372.26
376;9498.66
377;9332.22
378;9319.72
379;9314.5
380;9223.75
381;9250.18
382;9322.0
383;9321.78
384;9334.21
385;9256.24
386;9170.35
387;9316.1
388;9111.99
389;9009.18
390;8940.76
391;8871.58
392;8823.39
393;8783.1
394;8520.28
395;8289.7
396;8124.3
397;8009.57
398;7903.89
399;7910.28
400;7681.54
401;7517.5
402;7476.35
403;7304.02
404;7306.17
405;7287.15
406;7333.47
407;7467.41
408;7564.77
409;7488.54
410;7534.24
411;7737.89
412;7733.72
413;7764.36
414;7758.49
415;7717.77
416;7840.19
417;7958.04
418;8024.04
419;7963.74
420;8128.75
421;8205.49
422;8345.27
423;8506.15
424;8674.79
425;9802.69
426;9888.51
427;10043.94
428;10191.38
429;10087.84
430;10136.52
431;10053.16
432;10176.37
433;10137.18
434;10169.61
435;10545.96
436;10645.67
437;10810.83
438;10935.32
439;11109.03
440;11249.67
441;11431.26
442;11548.83
443;11519.1
444;11654.92
445;11679.67
446;11873.18
447;11908.47
448;12041.31
449;12029.91
450;11936.8
451;11887.96
452;11813.31
453;11618.27
454;11460.88
455;11390.77
456;11173.74
457;11181.38
458;11184.27
459;11085.75
460;11141.95
461;11012.84
462;11007.86
463;10857.15
464;10879.14
465;10936.89
466;11006.13
467;10980.5
468;11049.98
469;11052.69
470;11183.58
471;11183.94
472;11314.58
473;11518.23
474;11636.58
475;11504.37
476;11464.8
477;11509.51
478;11492.86
479;11612.8
480;11760.5
481;11757.89
482;11750.07
483;11715.84
484;11813.35
485;11837.65
486;11634.47
487;11704.03
488;11542.75
489;11467.05
490;11469.53
491;11230.71
492;10844.63
493;10559.3
494;10337.23
495;9959.91
496;9622.98
497;9327.28
498;9063.29
499;9144.64
500;9124.8
501;8703.27
502;8679.24
503;8717.66
504;8908.87
505;8999.34
506;8878.55
507;8872.78
508;8826.74
509;8728.41
510;8769.23
511;8695.48
512;8803.0
513;8738.3
514;8835.74
515;8990.85
516;9076.03
517;9124.09
518;9542.31
519;9731.65
520;10175.62
521;9358.95
522;9413.81
523;9439.59
